epoch,train_loss,train_dice,val_loss,val_dice
1,0.38261,0.602985,0.320576,0.696871
2,0.280087,0.700263,0.28008,0.71928
3,0.25849,0.721198,0.27449,0.734528
4,0.250312,0.729535,0.269558,0.71847
5,0.243755,0.735627,0.263165,0.748295
6,0.238018,0.740978,0.271798,0.730546
7,0.234403,0.744689,0.253225,0.734738
8,0.232262,0.747027,0.242915,0.73776
9,0.230659,0.747954,0.245983,0.748178
10,0.23001,0.748052,0.225416,0.760557
11,0.227734,0.749883,0.24493,0.753537
12,0.225778,0.752739,0.233726,0.754885
13,0.223171,0.754697,0.239898,0.751171
14,0.22227,0.754694,0.235254,0.751404
15,0.219958,0.756711,0.277795,0.745139
16,0.221521,0.756073,0.233222,0.755418
17,0.219962,0.757271,0.237888,0.732613
18,0.218414,0.75856,0.233975,0.75609
19,0.218302,0.758681,0.222994,0.757974
20,0.215716,0.760972,0.239234,0.751133
21,0.213215,0.763042,0.22706,0.754762
22,0.216501,0.759704,0.22626,0.754025
23,0.215233,0.760646,0.225477,0.768008
24,0.214184,0.762087,0.211311,0.770821
25,0.212995,0.76272,0.215078,0.771655
