epoch,train_loss,train_dice,val_loss,val_dice
1,0.625728,0.355637,0.541622,0.484425
2,0.470784,0.51827,0.422512,0.531539
3,0.393647,0.579642,0.389071,0.596842
4,0.375876,0.597849,0.369346,0.605177
5,0.362281,0.611668,0.383101,0.600087
6,0.357909,0.615582,0.344045,0.619136
7,0.349528,0.623872,0.344693,0.626288
8,0.344889,0.627371,0.337927,0.643316
9,0.339865,0.631535,0.36682,0.593319
10,0.340624,0.631952,0.351961,0.619256
11,0.336207,0.634631,0.325547,0.64984
12,0.332664,0.638284,0.331971,0.629547
13,0.33175,0.638233,0.332358,0.636612
14,0.328765,0.641454,0.350255,0.621735
15,0.327503,0.642046,0.313791,0.642815
16,0.324733,0.644749,0.333606,0.631408
17,0.321432,0.64808,0.318154,0.651293
18,0.322566,0.646594,0.334563,0.62927
19,0.321098,0.647887,0.353111,0.619049
20,0.316583,0.652249,0.322509,0.639695
21,0.318311,0.65039,0.326362,0.638098
22,0.318222,0.650713,0.313764,0.638038
23,0.316966,0.651955,0.308135,0.656902
24,0.315173,0.652664,0.311793,0.655725
25,0.313887,0.654404,0.33396,0.637977
