epoch,train_loss,train_dice,val_loss,val_dice
1,0.495525,0.484369,0.383079,0.60975
2,0.335457,0.649709,0.340052,0.587658
3,0.295566,0.68403,0.262877,0.742246
4,0.281657,0.697752,0.267211,0.728695
5,0.267304,0.711768,0.230486,0.743448
6,0.256424,0.722379,0.231297,0.760893
7,0.25371,0.724581,0.225446,0.777461
8,0.244958,0.73303,0.23565,0.745003
9,0.242795,0.734432,0.236746,0.757565
10,0.238783,0.739133,0.23142,0.761699
11,0.241744,0.735455,0.20475,0.772544
12,0.234946,0.742313,0.210538,0.783148
13,0.232128,0.744306,0.214784,0.766635
14,0.2298,0.74789,0.211563,0.774083
15,0.230246,0.746265,0.203028,0.781557
16,0.228621,0.748326,0.212961,0.779155
17,0.227594,0.750137,0.219064,0.779748
18,0.226335,0.749887,0.225979,0.765175
19,0.224556,0.752355,0.194134,0.787629
20,0.224454,0.751944,0.20854,0.77493
21,0.223069,0.753204,0.190507,0.793084
22,0.22192,0.754384,0.208185,0.774655
23,0.221017,0.755008,0.193057,0.791786
24,0.218624,0.75777,0.207947,0.78441
25,0.220081,0.755021,0.205172,0.800633
