epoch,train_loss,train_dice,val_loss,val_dice
1,0.487738,0.498772,0.375139,0.640538
2,0.316033,0.676019,0.3175,0.679999
3,0.274376,0.708884,0.270685,0.719103
4,0.258178,0.723851,0.258569,0.723929
5,0.250474,0.731859,0.25992,0.719449
6,0.241904,0.739008,0.263965,0.725586
7,0.236328,0.744486,0.237159,0.734564
8,0.236669,0.744033,0.257897,0.723613
9,0.231576,0.748515,0.251668,0.722758
10,0.231927,0.748695,0.249102,0.744026
11,0.227655,0.752719,0.234826,0.749707
12,0.226101,0.753878,0.227875,0.738291
13,0.223681,0.755469,0.24116,0.739224
14,0.221512,0.757264,0.227412,0.737213
15,0.219582,0.759974,0.243444,0.734789
16,0.219568,0.758752,0.222413,0.750341
17,0.218497,0.760105,0.220651,0.767984
18,0.217551,0.760843,0.249904,0.730153
19,0.217028,0.761307,0.225664,0.744259
20,0.214932,0.76373,0.220714,0.75311
21,0.215229,0.763523,0.210469,0.762049
22,0.213575,0.765483,0.224244,0.760877
23,0.213359,0.765195,0.229595,0.745079
24,0.213298,0.764823,0.209483,0.76236
25,0.213401,0.765128,0.227547,0.745514
