epoch,train_loss,train_dice,val_loss,val_dice
1,0.445122,0.543262,0.372952,0.611062
2,0.30077,0.689691,0.299045,0.695511
3,0.264133,0.720079,0.29573,0.712741
4,0.254006,0.729206,0.262379,0.717083
5,0.242855,0.738327,0.229748,0.738497
6,0.23442,0.747141,0.234184,0.732175
7,0.231118,0.749702,0.216504,0.763646
8,0.228971,0.750679,0.24417,0.735806
9,0.228416,0.751787,0.228952,0.753442
10,0.223469,0.756141,0.231855,0.742706
11,0.220364,0.758985,0.223435,0.752727
12,0.217759,0.7612,0.225071,0.748242
13,0.220696,0.759303,0.224569,0.747843
14,0.216288,0.7624,0.207443,0.769398
15,0.215161,0.762962,0.211473,0.763448
16,0.216612,0.762626,0.230411,0.742045
17,0.213845,0.765049,0.234711,0.746818
18,0.212328,0.765869,0.211993,0.764724
19,0.213554,0.765139,0.215827,0.755885
20,0.21022,0.767676,0.210978,0.757765
21,0.209051,0.768663,0.22787,0.748882
22,0.208461,0.769782,0.221593,0.750561
23,0.20709,0.769442,0.220781,0.753429
24,0.207213,0.77101,0.213143,0.760674
25,0.208421,0.769124,0.221909,0.750781
