epoch,train_loss,train_dice,val_loss,val_dice
1,0.63383,0.340123,0.578215,0.406051
2,0.522046,0.492134,0.476485,0.559233
3,0.421304,0.553138,0.359721,0.630425
4,0.386177,0.5856,0.360655,0.60886
5,0.371888,0.598564,0.357968,0.627641
6,0.361908,0.609084,0.331105,0.656757
7,0.354304,0.614413,0.336098,0.650788
8,0.353183,0.617314,0.382021,0.608649
9,0.350115,0.620542,0.338656,0.634823
10,0.347377,0.622091,0.317351,0.664866
11,0.343005,0.626029,0.333466,0.661745
12,0.339931,0.628618,0.318052,0.648254
13,0.336568,0.63188,0.363881,0.617803
14,0.33404,0.633492,0.315162,0.652949
15,0.332336,0.636069,0.306495,0.680927
16,0.334532,0.63302,0.298058,0.667813
17,0.330265,0.637538,0.314535,0.659847
18,0.327641,0.639474,0.303683,0.667842
19,0.327693,0.640308,0.331848,0.652193
20,0.324453,0.642703,0.312179,0.67169
21,0.32449,0.643282,0.299553,0.677992
22,0.325154,0.641689,0.319954,0.658824
23,0.324027,0.642945,0.309633,0.668474
24,0.322719,0.643806,0.30174,0.677605
25,0.319358,0.645814,0.316614,0.647465
