epoch,train_loss,train_dice,val_loss,val_dice
1,0.43627,0.555113,0.342758,0.669844
2,0.298617,0.690104,0.293359,0.711352
3,0.262459,0.722663,0.254159,0.72856
4,0.248618,0.733414,0.256209,0.709882
5,0.24224,0.738955,0.266262,0.723988
6,0.233965,0.747203,0.234271,0.747464
7,0.231628,0.748045,0.248659,0.72905
8,0.226533,0.754283,0.226487,0.753525
9,0.225486,0.754224,0.224621,0.74958
10,0.223694,0.755486,0.250518,0.72763
11,0.221906,0.7573,0.227163,0.753385
12,0.218941,0.75956,0.228672,0.745171
13,0.216604,0.761956,0.225732,0.749773
14,0.21621,0.762292,0.222151,0.75415
15,0.214429,0.763784,0.236572,0.748776
16,0.214878,0.763271,0.233861,0.74677
17,0.212078,0.7655,0.237463,0.738925
18,0.212434,0.764835,0.221462,0.761131
19,0.212704,0.764633,0.229043,0.740205
20,0.210367,0.767533,0.243245,0.745772
21,0.20891,0.768342,0.200202,0.772516
22,0.208866,0.768892,0.221201,0.752667
23,0.207021,0.769754,0.223217,0.750731
24,0.208004,0.769227,0.22439,0.761291
25,0.205877,0.771204,0.233522,0.742056
