epoch,train_loss,train_dice,val_loss,val_dice
1,0.486957,0.504603,0.358522,0.641402
2,0.312341,0.68194,0.29182,0.677533
3,0.271534,0.713831,0.256111,0.729451
4,0.252671,0.728945,0.261277,0.716953
5,0.247092,0.734425,0.300283,0.694008
6,0.238069,0.743484,0.260571,0.726397
7,0.234451,0.745834,0.223125,0.759715
8,0.234176,0.74629,0.24209,0.738669
9,0.230514,0.749421,0.231482,0.747261
10,0.227683,0.751428,0.226594,0.75815
11,0.225241,0.755269,0.238176,0.739029
12,0.224669,0.753926,0.248923,0.730931
13,0.223625,0.754733,0.225354,0.755617
14,0.219691,0.758878,0.213716,0.771468
15,0.222321,0.755951,0.233293,0.752775
16,0.219692,0.758324,0.233464,0.739741
17,0.217397,0.760584,0.214721,0.768926
18,0.220307,0.758389,0.226736,0.764622
19,0.220318,0.75776,0.212472,0.763805
20,0.215141,0.761684,0.223308,0.763243
21,0.215169,0.762815,0.210162,0.755904
22,0.217364,0.761142,0.22431,0.76181
23,0.215722,0.760988,0.222365,0.75453
24,0.213132,0.764005,0.210779,0.767884
25,0.210382,0.766478,0.224064,0.753384
