epoch,train_loss,train_dice,val_loss,val_dice
1,0.543915,0.412318,0.516755,0.479686
2,0.469003,0.492241,0.498794,0.469538
3,0.446847,0.51699,0.5007,0.517047
4,0.435466,0.529092,0.459649,0.533869
5,0.42531,0.540433,0.525059,0.501291
6,0.418493,0.548608,0.476772,0.53266
7,0.413066,0.552507,0.433607,0.547683
8,0.410562,0.555814,0.435469,0.533431
9,0.405946,0.559651,0.418833,0.534435
10,0.401378,0.565,0.412213,0.55867
11,0.399211,0.566128,0.413605,0.573151
12,0.397572,0.568715,0.436043,0.550568
13,0.393201,0.572212,0.40894,0.567189
14,0.392648,0.573289,0.413847,0.57138
15,0.38861,0.577331,0.404455,0.574151
16,0.386678,0.578936,0.421197,0.569858
17,0.385226,0.580439,0.408107,0.571418
18,0.383125,0.582151,0.405011,0.57692
19,0.384599,0.581315,0.399298,0.568219
20,0.382991,0.582689,0.417905,0.579396
21,0.379612,0.585765,0.396652,0.576793
22,0.378928,0.586592,0.399434,0.588599
23,0.37701,0.588944,0.402875,0.587476
24,0.376403,0.588868,0.390147,0.586962
25,0.376505,0.588299,0.404516,0.572303
