epoch,train_loss,train_dice,val_loss,val_dice
1,0.423676,0.559286,0.347643,0.630055
2,0.295195,0.686019,0.323716,0.679878
3,0.268208,0.712876,0.268613,0.702854
4,0.251965,0.728181,0.28167,0.701768
5,0.245657,0.733609,0.245033,0.732401
6,0.240426,0.740437,0.255015,0.738195
7,0.234823,0.745824,0.255848,0.728363
8,0.234326,0.745335,0.25546,0.709081
9,0.229884,0.748984,0.283492,0.727551
10,0.227124,0.753053,0.254366,0.731222
11,0.224586,0.75432,0.2364,0.741384
12,0.224766,0.753354,0.248413,0.738405
13,0.221834,0.756267,0.268059,0.717557
14,0.222048,0.756861,0.21997,0.7512
15,0.220074,0.758113,0.219096,0.758496
16,0.218362,0.759213,0.225887,0.744581
17,0.217205,0.760672,0.246731,0.741182
18,0.21769,0.759297,0.253255,0.728072
19,0.217184,0.760255,0.216335,0.771316
20,0.215412,0.762275,0.240457,0.736367
21,0.214099,0.763176,0.213902,0.775828
22,0.21259,0.763745,0.225297,0.744161
23,0.211885,0.76567,0.227427,0.758493
24,0.210399,0.766492,0.246714,0.744621
25,0.21327,0.763743,0.234976,0.743591
