epoch,train_loss,train_dice,val_loss,val_dice
1,0.637644,0.331204,0.55576,0.46509
2,0.477016,0.508096,0.448561,0.56187
3,0.402048,0.569012,0.396741,0.600351
4,0.375012,0.596527,0.375269,0.583887
5,0.361061,0.609998,0.368607,0.563506
6,0.354188,0.616265,0.34611,0.636074
7,0.348214,0.621865,0.364193,0.632002
8,0.341481,0.628904,0.392342,0.583565
9,0.342945,0.627067,0.330367,0.634962
10,0.334279,0.635228,0.339246,0.62057
11,0.335075,0.634446,0.341785,0.622715
12,0.330738,0.637432,0.343175,0.623119
13,0.327495,0.64119,0.315971,0.664636
14,0.326997,0.641437,0.360426,0.630503
15,0.322809,0.644789,0.336779,0.627108
16,0.323561,0.644772,0.331192,0.611452
17,0.32263,0.645406,0.324125,0.635013
18,0.321479,0.64699,0.329449,0.641594
19,0.319582,0.647484,0.323884,0.642207
20,0.315884,0.651042,0.341686,0.631263
21,0.315149,0.652323,0.30338,0.667835
22,0.316226,0.651257,0.330347,0.638119
23,0.316187,0.650801,0.31886,0.644928
24,0.312479,0.654006,0.314908,0.643998
25,0.315164,0.651216,0.323072,0.648455
