epoch,train_loss,train_dice,val_loss,val_dice
1,0.533865,0.420623,0.501626,0.493868
2,0.469067,0.489875,0.477967,0.525656
3,0.446407,0.513347,0.452543,0.531663
4,0.434768,0.526345,0.447452,0.557123
5,0.426697,0.534927,0.453748,0.559458
6,0.420645,0.542031,0.430269,0.57477
7,0.414346,0.548523,0.415406,0.560554
8,0.413039,0.550309,0.481959,0.521807
9,0.408983,0.553998,0.420149,0.579176
10,0.404496,0.558406,0.396565,0.592857
11,0.401347,0.5624,0.38889,0.581054
12,0.397812,0.564906,0.426766,0.581929
13,0.398513,0.564664,0.483806,0.557993
14,0.394344,0.569065,0.393418,0.5988
15,0.393335,0.570047,0.389737,0.600475
16,0.388996,0.573008,0.402575,0.588453
17,0.389694,0.572598,0.408988,0.586173
18,0.384848,0.577646,0.394751,0.596242
19,0.384671,0.578387,0.408634,0.573687
20,0.38574,0.577216,0.393714,0.58457
21,0.38166,0.581057,0.38436,0.609018
22,0.379339,0.583159,0.416315,0.571617
23,0.379449,0.582476,0.403083,0.587373
24,0.376883,0.584993,0.389105,0.604742
25,0.37494,0.587565,0.383248,0.600176
