epoch,train_loss,train_dice,val_loss,val_dice
1,0.433562,0.555867,0.314281,0.688302
2,0.307821,0.67885,0.283287,0.710285
3,0.269708,0.711785,0.250952,0.721632
4,0.256983,0.723742,0.222766,0.764513
5,0.248958,0.731084,0.246175,0.71725
6,0.240954,0.738514,0.226056,0.778313
7,0.237274,0.741442,0.218955,0.78006
8,0.236379,0.742216,0.22992,0.786851
9,0.232127,0.746618,0.207779,0.794276
10,0.230048,0.747585,0.206847,0.770625
11,0.226883,0.750168,0.194847,0.781139
12,0.22625,0.750462,0.211174,0.770824
13,0.224452,0.752422,0.211753,0.780587
14,0.222456,0.755418,0.213563,0.775059
15,0.220901,0.755078,0.205438,0.777956
16,0.22209,0.755026,0.201857,0.777142
17,0.220194,0.756053,0.207332,0.776019
18,0.215504,0.761069,0.202325,0.780326
19,0.21768,0.759188,0.216513,0.790576
20,0.214979,0.760267,0.207582,0.782658
21,0.213846,0.762146,0.20159,0.795871
22,0.213194,0.763437,0.201504,0.786998
23,0.212637,0.763477,0.200012,0.786311
24,0.212163,0.764013,0.18752,0.794666
25,0.211041,0.764712,0.200437,0.786482
