epoch,train_loss,train_dice,val_loss,val_dice
1,0.639248,0.328129,0.557945,0.44567
2,0.480314,0.50841,0.46121,0.462887
3,0.399656,0.573169,0.423353,0.582508
4,0.377222,0.595604,0.36472,0.611371
5,0.363105,0.609748,0.36501,0.611219
6,0.356032,0.616794,0.387857,0.587239
7,0.347891,0.624405,0.360857,0.601638
8,0.343095,0.627966,0.36187,0.611774
9,0.33795,0.632455,0.3512,0.647747
10,0.337081,0.633578,0.346976,0.63404
11,0.332635,0.638025,0.331305,0.640758
12,0.329743,0.640989,0.363002,0.597845
13,0.330455,0.639878,0.302021,0.665024
14,0.325966,0.644274,0.319669,0.643018
15,0.32391,0.645662,0.315261,0.666346
16,0.323288,0.646299,0.356269,0.627871
17,0.322238,0.64732,0.320224,0.639236
18,0.319607,0.648738,0.34627,0.613097
19,0.320473,0.647659,0.31697,0.648036
20,0.317888,0.651101,0.305084,0.666858
21,0.31729,0.651332,0.317725,0.643348
22,0.314971,0.653343,0.297516,0.673171
23,0.31592,0.65237,0.331793,0.640039
24,0.314178,0.653292,0.308121,0.672453
25,0.313716,0.654469,0.309209,0.657447
