epoch,train_loss,train_dice,val_loss,val_dice
1,0.541632,0.414162,0.519306,0.443268
2,0.467248,0.494747,0.495166,0.498691
3,0.450296,0.512584,0.510242,0.503056
4,0.433308,0.531177,0.452211,0.536402
5,0.426469,0.538858,0.485602,0.525278
6,0.418295,0.547711,0.443548,0.556249
7,0.412951,0.553852,0.452965,0.547124
8,0.410114,0.5573,0.424359,0.531574
9,0.405261,0.561082,0.420752,0.553244
10,0.40204,0.564797,0.412953,0.55407
11,0.399018,0.567403,0.414656,0.549714
12,0.395643,0.570562,0.419581,0.556685
13,0.395739,0.571632,0.418937,0.561479
14,0.391306,0.574503,0.430377,0.53143
15,0.389719,0.576628,0.443255,0.562072
16,0.389457,0.576674,0.432613,0.544878
17,0.387145,0.579135,0.438512,0.566847
18,0.384841,0.580453,0.421007,0.556666
19,0.384515,0.581771,0.400438,0.574656
20,0.380813,0.584877,0.428229,0.54824
21,0.381754,0.584252,0.411617,0.579714
22,0.378503,0.58813,0.425201,0.566922
23,0.378671,0.587197,0.411463,0.56926
24,0.375873,0.589473,0.400514,0.574119
25,0.375697,0.590571,0.397382,0.561811
