epoch,train_loss,train_dice,val_loss,val_dice
1,0.39792,0.591207,0.338717,0.658271
2,0.279901,0.700754,0.281327,0.693426
3,0.258554,0.722954,0.259358,0.719632
4,0.245742,0.735025,0.284032,0.711489
5,0.243528,0.736606,0.262625,0.718088
6,0.235202,0.74409,0.273736,0.709379
7,0.234245,0.745392,0.242863,0.747425
8,0.230515,0.748266,0.233692,0.736554
9,0.227914,0.751023,0.235752,0.743293
10,0.227035,0.752349,0.243739,0.742109
11,0.224893,0.753381,0.253219,0.740949
12,0.221876,0.756142,0.243188,0.743519
13,0.223018,0.754553,0.246216,0.738907
14,0.219699,0.757447,0.253514,0.745274
15,0.220653,0.756057,0.225556,0.753587
16,0.218797,0.758291,0.251706,0.733602
17,0.215041,0.761082,0.244834,0.746246
18,0.218491,0.759059,0.238111,0.734754
19,0.215701,0.76125,0.234574,0.761533
20,0.214731,0.761501,0.228542,0.75552
21,0.21406,0.762786,0.257448,0.738551
22,0.213761,0.762903,0.21483,0.762274
23,0.212503,0.763682,0.252223,0.733429
24,0.212073,0.764074,0.221577,0.75641
25,0.2126,0.764569,0.238193,0.733031
