epoch,train_loss,train_dice,val_loss,val_dice
1,0.4322,0.557627,0.328299,0.673039
2,0.300789,0.68592,0.269936,0.70512
3,0.268088,0.71439,0.274935,0.704351
4,0.250606,0.730988,0.241593,0.759765
5,0.242448,0.739735,0.232294,0.74977
6,0.236291,0.743293,0.237161,0.740479
7,0.23415,0.746701,0.229281,0.747427
8,0.230555,0.749314,0.224972,0.760774
9,0.225078,0.75523,0.237896,0.740623
10,0.225826,0.753016,0.229903,0.75424
11,0.221932,0.758048,0.223312,0.752353
12,0.222258,0.756214,0.217903,0.76384
13,0.219379,0.759215,0.214229,0.771118
14,0.218145,0.760643,0.210046,0.762192
15,0.216137,0.761942,0.203299,0.764945
16,0.217115,0.761347,0.207766,0.76869
17,0.215403,0.762342,0.251419,0.721354
18,0.216136,0.761358,0.215906,0.766325
19,0.212935,0.76531,0.201859,0.774135
20,0.212824,0.764271,0.234005,0.746005
21,0.212904,0.764782,0.228543,0.75155
22,0.211505,0.765148,0.218197,0.757462
23,0.211154,0.766181,0.207783,0.781056
24,0.209137,0.767963,0.208851,0.770389
25,0.209408,0.766897,0.208083,0.761282
