epoch,train_loss,train_dice,val_loss,val_dice
1,0.541186,0.413561,0.533924,0.420301
2,0.467256,0.492,0.487281,0.52153
3,0.445715,0.516295,0.508041,0.493342
4,0.434612,0.528391,0.448086,0.53511
5,0.424107,0.538667,0.443422,0.557745
6,0.418637,0.545294,0.444341,0.535586
7,0.412758,0.551717,0.492548,0.510999
8,0.408237,0.556529,0.508852,0.516649
9,0.407059,0.558589,0.425586,0.549523
10,0.401539,0.562503,0.433569,0.561614
11,0.399189,0.565243,0.425047,0.573759
12,0.395423,0.569409,0.461617,0.547866
13,0.391483,0.573098,0.426268,0.574687
14,0.390398,0.574724,0.429072,0.55334
15,0.389873,0.574444,0.41886,0.564029
16,0.384936,0.579465,0.503766,0.520651
17,0.385986,0.578448,0.407247,0.579708
18,0.382554,0.581802,0.418252,0.589602
19,0.381629,0.582874,0.407235,0.577056
20,0.379157,0.584801,0.39686,0.588528
21,0.379148,0.584927,0.478999,0.503789
22,0.378897,0.584883,0.407537,0.577548
23,0.377566,0.586622,0.39053,0.595921
24,0.373104,0.590333,0.391401,0.580278
25,0.375925,0.588667,0.416782,0.559598
