epoch,train_loss,train_dice,val_loss,val_dice
1,0.400438,0.586369,0.298118,0.692757
2,0.288993,0.689542,0.237052,0.754681
3,0.267645,0.710223,0.276159,0.72615
4,0.254597,0.724601,0.237412,0.758009
5,0.251364,0.725763,0.247479,0.706651
6,0.246749,0.730973,0.237051,0.767613
7,0.244062,0.734017,0.237743,0.751421
8,0.239728,0.737841,0.210217,0.784084
9,0.234146,0.743237,0.215128,0.782226
10,0.234522,0.741915,0.214665,0.783361
11,0.231615,0.744553,0.20509,0.786739
12,0.231395,0.745869,0.2305,0.764395
13,0.229498,0.746952,0.218906,0.785892
14,0.228624,0.747567,0.243788,0.755475
15,0.227876,0.748772,0.216958,0.768037
16,0.225322,0.750339,0.249673,0.747021
17,0.223333,0.752701,0.202521,0.784398
18,0.224176,0.751496,0.200532,0.794371
19,0.223277,0.752203,0.219012,0.774278
20,0.220523,0.754627,0.232224,0.780088
21,0.221922,0.753881,0.201409,0.784014
22,0.219586,0.755867,0.213543,0.77083
23,0.218325,0.756508,0.207253,0.784708
24,0.222233,0.753313,0.205461,0.773656
25,0.218212,0.757206,0.19923,0.783972
